"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 05 20:38:39 GMT 2024","Wed Jun 05 20:38:40 GMT 2024","1113","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","TC-01 Open Base URL"
"passed","Wed Jun 05 20:38:40 GMT 2024","Wed Jun 05 20:38:40 GMT 2024","0","Surefire suite","Surefire test","com.lumatest.TestTest","com.lumatest.TestTest","testPass","testPass",""
"unknown","Wed Jun 05 20:38:31 GMT 2024","Wed Jun 05 20:38:31 GMT 2024","1","Surefire suite","Surefire test","com.lumatest.TestTest","com.lumatest.TestTest","testFail","testFail",""
"passed","Wed Jun 05 20:38:37 GMT 2024","Wed Jun 05 20:38:38 GMT 2024","1691","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
"passed","Wed Jun 05 20:38:34 GMT 2024","Wed Jun 05 20:38:36 GMT 2024","1948","Surefire suite","Surefire test","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","Test navigation menu"
