"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 19:14:16 GMT 2024","Sat Jun 01 19:14:16 GMT 2024","8","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
"unknown","Sat Jun 01 19:14:16 GMT 2024","Sat Jun 01 19:14:16 GMT 2024","1","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
