"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Sat Jun 01 17:22:04 GMT 2024","Sat Jun 01 17:22:04 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
"passed","Sat Jun 01 17:22:04 GMT 2024","Sat Jun 01 17:22:04 GMT 2024","9","Surefire suite","Surefire test","TestTest","TestTest","testPass","testPass",""
